"Timestamp","Type of User","Total score","Which age group do you belong to?","Which age group do you belong to? [Score]","Which age group do you belong to? [Feedback]","What is your maximum educational level obtained?","What is your maximum educational level obtained? [Score]","What is your maximum educational level obtained? [Feedback]","Is your educational background directly related to public health, medicine, or virology?","Is your educational background directly related to public health, medicine, or virology? [Score]","Is your educational background directly related to public health, medicine, or virology? [Feedback]","Q1. What strain was identified in the virus surfaced in Mexico in 2009?","Q1. What strain was identified in the virus surfaced in Mexico in 2009? [Score]","Q1. What strain was identified in the virus surfaced in Mexico in 2009? [Feedback]","Q2. During what time of the year the seasonal flu epidemics represent the disease burden in tropical area?","Q2. During what time of the year the seasonal flu epidemics represent the disease burden in tropical area? [Score]","Q2. During what time of the year the seasonal flu epidemics represent the disease burden in tropical area? [Feedback]","Q3. What is the fastest route for the transmission of disease?","Q3. What is the fastest route for the transmission of disease? [Score]","Q3. What is the fastest route for the transmission of disease? [Feedback]","Q4. What helps the virus to bind with the receptor molecule on the surface of a healthy cell in the human body?","Q4. What helps the virus to bind with the receptor molecule on the surface of a healthy cell in the human body? [Score]","Q4. What helps the virus to bind with the receptor molecule on the surface of a healthy cell in the human body? [Feedback]","Q5. What causes the mucous membranes to get weakened in an infected person’s airway?","Q5. What causes the mucous membranes to get weakened in an infected person’s airway? [Score]","Q5. What causes the mucous membranes to get weakened in an infected person’s airway? [Feedback]","Q6. For the most healthy individuals, how many days does it take for the flu symptoms to disappear without any medical attention?","Q6. For the most healthy individuals, how many days does it take for the flu symptoms to disappear without any medical attention? [Score]","Q6. For the most healthy individuals, how many days does it take for the flu symptoms to disappear without any medical attention? [Feedback]","Q7. What types of influenza cause annual epidemics?","Q7. What types of influenza cause annual epidemics? [Score]","Q7. What types of influenza cause annual epidemics? [Feedback]","Q8. What type of influenza virus is milder version and does not cause epidemics?","Q8. What type of influenza virus is milder version and does not cause epidemics? [Score]","Q8. What type of influenza virus is milder version and does not cause epidemics? [Feedback]","Q9. What does H and N in the subtypes of influenza virus stands for (eg H1N1, H3N2 etc)?","Q9. What does H and N in the subtypes of influenza virus stands for (eg H1N1, H3N2 etc)? [Score]","Q9. What does H and N in the subtypes of influenza virus stands for (eg H1N1, H3N2 etc)? [Feedback]","Q10. The genetic information of influenza virus is written on how many gene segments?","Q10. The genetic information of influenza virus is written on how many gene segments? [Score]","Q10. The genetic information of influenza virus is written on how many gene segments? [Feedback]","Q11. In 1957, reassortment of which two influenza viruses killed almost 2 million people globally?","Q11. In 1957, reassortment of which two influenza viruses killed almost 2 million people globally? [Score]","Q11. In 1957, reassortment of which two influenza viruses killed almost 2 million people globally? [Feedback]","Q12. Exposure to poultry caused infection of which type of influenza virus in humans but not in poultry itself?","Q12. Exposure to poultry caused infection of which type of influenza virus in humans but not in poultry itself? [Score]","Q12. Exposure to poultry caused infection of which type of influenza virus in humans but not in poultry itself? [Feedback]","Q13. What is the most effective intervention to reduce the mortality and morbidity of influenza?","Q13. What is the most effective intervention to reduce the mortality and morbidity of influenza? [Score]","Q13. What is the most effective intervention to reduce the mortality and morbidity of influenza? [Feedback]","Please choose one","Please choose one [Score]","Please choose one [Feedback]","Did you finish watching the video?","Did you finish watching the video? [Score]","Did you finish watching the video? [Feedback]","Did you finish reading the material?","Did you finish reading the material? [Score]","Did you finish reading the material? [Feedback]","Q1. What strain was identified in the virus surfaced in Mexico in 2009?","Q1. What strain was identified in the virus surfaced in Mexico in 2009? [Score]","Q1. What strain was identified in the virus surfaced in Mexico in 2009? [Feedback]","Q2. During what time of the year the seasonal flu epidemics represent the disease burden in tropical area?","Q2. During what time of the year the seasonal flu epidemics represent the disease burden in tropical area? [Score]","Q2. During what time of the year the seasonal flu epidemics represent the disease burden in tropical area? [Feedback]","Q3. What is the fastest route for the transmission of disease?","Q3. What is the fastest route for the transmission of disease? [Score]","Q3. What is the fastest route for the transmission of disease? [Feedback]","Q4. What helps the virus to bind with the receptor molecule on the surface of a healthy cell in the human body?","Q4. What helps the virus to bind with the receptor molecule on the surface of a healthy cell in the human body? [Score]","Q4. What helps the virus to bind with the receptor molecule on the surface of a healthy cell in the human body? [Feedback]","Q5. What causes the mucous membranes to get weakened in an infected person’s airway?","Q5. What causes the mucous membranes to get weakened in an infected person’s airway? [Score]","Q5. What causes the mucous membranes to get weakened in an infected person’s airway? [Feedback]","Q6. For the most healthy individuals, how many days does it take for the flu symptoms to disappear without any medical attention? ","Q6. For the most healthy individuals, how many days does it take for the flu symptoms to disappear without any medical attention?  [Score]","Q6. For the most healthy individuals, how many days does it take for the flu symptoms to disappear without any medical attention?  [Feedback]","Q7. What types of influenza cause annual epidemics?","Q7. What types of influenza cause annual epidemics? [Score]","Q7. What types of influenza cause annual epidemics? [Feedback]","Q8. What type of influenza virus is milder version and does not cause epidemics?","Q8. What type of influenza virus is milder version and does not cause epidemics? [Score]","Q8. What type of influenza virus is milder version and does not cause epidemics? [Feedback]","Q9. What does H and N in the subtypes of influenza virus stands for (eg H1N1, H3N2 etc)?","Q9. What does H and N in the subtypes of influenza virus stands for (eg H1N1, H3N2 etc)? [Score]","Q9. What does H and N in the subtypes of influenza virus stands for (eg H1N1, H3N2 etc)? [Feedback]","Q10. The genetic information of influenza virus is written on how many gene segments?","Q10. The genetic information of influenza virus is written on how many gene segments? [Score]","Q10. The genetic information of influenza virus is written on how many gene segments? [Feedback]","Q11. In 1957, reassortment of which two influenza viruses killed almost 2 million people globally?","Q11. In 1957, reassortment of which two influenza viruses killed almost 2 million people globally? [Score]","Q11. In 1957, reassortment of which two influenza viruses killed almost 2 million people globally? [Feedback]","Q12. Exposure to poultry caused infection of which type of influenza virus in humans but not in poultry itself?","Q12. Exposure to poultry caused infection of which type of influenza virus in humans but not in poultry itself? [Score]","Q12. Exposure to poultry caused infection of which type of influenza virus in humans but not in poultry itself? [Feedback]","Q13. What is the most effective intervention to reduce the mortality and morbidity of influenza?","Q13. What is the most effective intervention to reduce the mortality and morbidity of influenza? [Score]","Q13. What is the most effective intervention to reduce the mortality and morbidity of influenza? [Feedback]","Do you want to know the results of your answers?","Do you want to know the results of your answers? [Score]","Do you want to know the results of your answers? [Feedback]","Do you have any recommendations or feedback on the experiment?","Do you have any recommendations or feedback on the experiment? [Score]","Do you have any recommendations or feedback on the experiment? [Feedback]"
"2020/12/09 12:30:11 PM EST","Not Cri","20.00 / 26","26 to 35 years old","-- / 0","","Master","-- / 0","","Yes","-- / 0","","Type C","0.00 / 1","","Throughout the year","1.00 / 1","","Droplet","1.00 / 1","","Protein","1.00 / 1","","Because of inflammation due to cell destruction","1.00 / 1","","5-7 days","0.00 / 1","","Type A and Type B","1.00 / 1","","Type B","0.00 / 1","","Haemagglutinin and Neuraminidase","1.00 / 1","","8","1.00 / 1","","Human influenza virus and Avian influenza virus","1.00 / 1","","H1N1","0.00 / 1","","Vaccination","1.00 / 1","","#","-- / 0","","Yes","-- / 0","","","","","Type A","1.00 / 1","","Throughout the year","1.00 / 1","","Droplet","1.00 / 1","","Protein","1.00 / 1","","Because of inflammation due to cell destruction","1.00 / 1","","5-7 days","0.00 / 1","","Type A and Type B","1.00 / 1","","Type C","1.00 / 1","","Haemagglutinin and Neuraminidase","1.00 / 1","","8","1.00 / 1","","Human influenza virus and Avian influenza virus","1.00 / 1","","H1N1","0.00 / 1","","Vaccination","1.00 / 1","","No, thanks for asking","-- / 0","","","-- / 0",""
"2020/12/09 3:37:47 PM EST","Cri","12.00 / 26","26 to 35 years old","-- / 0","","Master","-- / 0","","No","-- / 0","","Type B","0.00 / 1","","Fall","0.00 / 1","","Direct contact","0.00 / 1","","Protein","1.00 / 1","","Because of inflammation due to cell destruction","1.00 / 1","","1-2 weeks","1.00 / 1","","Type B and Type C","0.00 / 1","","Type B","0.00 / 1","","Hemerythrin and nucleases","0.00 / 1","","8","1.00 / 1","","Human influenza virus and Swine flu virus","0.00 / 1","","H1N1","0.00 / 1","","Vaccination","1.00 / 1","","&","-- / 0","","Yes","-- / 0","","","","","Type A","1.00 / 1","","Fall","0.00 / 1","","Direct contact","0.00 / 1","","Protein","1.00 / 1","","Because of thousands of viruses being produced within cells","0.00 / 1","","1-2 weeks","1.00 / 1","","Type A and Type B","1.00 / 1","","Type B","0.00 / 1","","Haemagglutinin and Neuraminidase","1.00 / 1","","8","1.00 / 1","","Human influenza virus and Avian influenza virus","1.00 / 1","","H1N1","0.00 / 1","","Avoid close contact","0.00 / 1","","No, thanks for asking","-- / 0","","","-- / 0",""
"2020/12/09 10:05:22 PM EST","Not Cri","10.00 / 26","More than 45 years old","-- / 0","","Master","-- / 0","","No","-- / 0","","Type B","0.00 / 1","","Throughout the year","1.00 / 1","","Direct contact","0.00 / 1","","Pentose","0.00 / 1","","Because of inflammation due to cell destruction","1.00 / 1","","1-2 weeks","1.00 / 1","","Type A and Type C","0.00 / 1","","Type B","0.00 / 1","","Hemocyanin and nicotinamide adenine dinucleotide (NAD)","0.00 / 1","","8","1.00 / 1","","Human influenza virus and Swine flu virus","0.00 / 1","","H5N1","0.00 / 1","","Vaccination","1.00 / 1","","#","-- / 0","","Yes","-- / 0","","","","","Type B","0.00 / 1","","Throughout the year","1.00 / 1","","Direct contact","0.00 / 1","","Pentose","0.00 / 1","","Because of inflammation due to cell destruction","1.00 / 1","","1-2 weeks","1.00 / 1","","Type B and Type C","0.00 / 1","","Type B","0.00 / 1","","Hemocyanin and nicotinamide adenine dinucleotide (NAD)","0.00 / 1","","8","1.00 / 1","","Human influenza virus and Equine influenza virus","0.00 / 1","","H5N1","0.00 / 1","","Vaccination","1.00 / 1","","No, thanks for asking","-- / 0","","","-- / 0",""
"2020/12/09 10:08:07 PM EST","Not Cri","17.00 / 26","26 to 35 years old","-- / 0","","Master","-- / 0","","No","-- / 0","","Not sure","0.00 / 1","","Throughout the year","1.00 / 1","","Droplet","1.00 / 1","","Protein","1.00 / 1","","Because of inflammation due to cell destruction","1.00 / 1","","5-7 days","0.00 / 1","","Not sure","0.00 / 1","","Not sure","0.00 / 1","","Not sure","0.00 / 1","","Not sure","0.00 / 1","","Human influenza virus and Avian influenza virus","1.00 / 1","","H5N1","0.00 / 1","","Vaccination","1.00 / 1","","$","-- / 0","","","","","Yes!","-- / 0","","Type A","1.00 / 1","","Throughout the year","1.00 / 1","","Direct contact","0.00 / 1","","Protein","1.00 / 1","","Because of inflammation due to cell destruction","1.00 / 1","","5-7 days","0.00 / 1","","Type A and Type B","1.00 / 1","","Type C","1.00 / 1","","Haemagglutinin and Neuraminidase","1.00 / 1","","8","1.00 / 1","","Human influenza virus and Avian influenza virus","1.00 / 1","","H7N9","1.00 / 1","","Vaccination","1.00 / 1","","Yes, please send me my results","-- / 0","","","-- / 0",""
"2020/12/10 4:00:00 AM EST","Not Cri","19.00 / 26","18 to 25 years old","-- / 0","","Bachelor","-- / 0","","No","-- / 0","","Not sure","0.00 / 1","","Throughout the year","1.00 / 1","","Droplet","1.00 / 1","","Protein","1.00 / 1","","Cell exhaustion due to virus take over","0.00 / 1","","1-2 weeks","1.00 / 1","","Not sure","0.00 / 1","","Type A","0.00 / 1","","Not sure","0.00 / 1","","Not sure","0.00 / 1","","Human influenza virus and Swine flu virus","0.00 / 1","","H7N9","1.00 / 1","","Vaccination","1.00 / 1","","$","-- / 0","","","","","Yes!","-- / 0","","Type A","1.00 / 1","","Throughout the year","1.00 / 1","","Droplet","1.00 / 1","","Protein","1.00 / 1","","Because of inflammation due to cell destruction","1.00 / 1","","1-2 weeks","1.00 / 1","","Type A and Type B","1.00 / 1","","Type C","1.00 / 1","","Haemagglutinin and Neuraminidase","1.00 / 1","","8","1.00 / 1","","Human influenza virus and Avian influenza virus","1.00 / 1","","H7N9","1.00 / 1","","Vaccination","1.00 / 1","","Yes, please send me my results","-- / 0","","","-- / 0",""
"2020/12/10 5:51:01 AM EST","Cri","15.00 / 26","18 to 25 years old","-- / 0","","Bachelor","-- / 0","","Yes","-- / 0","","Not sure","0.00 / 1","","Throughout the year","1.00 / 1","","Droplet","1.00 / 1","","Not sure","0.00 / 1","","Because of inflammation due to cell destruction","1.00 / 1","","5-7 days","0.00 / 1","","Type A and Type C","0.00 / 1","","Not sure","0.00 / 1","","Not sure","0.00 / 1","","Not sure","0.00 / 1","","Human influenza virus and Avian influenza virus","1.00 / 1","","Not sure","0.00 / 1","","Vaccination","1.00 / 1","","#","-- / 0","","Yes","-- / 0","","","","","Type A","1.00 / 1","","Throughout the year","1.00 / 1","","Droplet","1.00 / 1","","Protein","1.00 / 1","","Because of inflammation due to cell destruction","1.00 / 1","","1-2 weeks","1.00 / 1","","Type A and Type B","1.00 / 1","","Type C","1.00 / 1","","Haemagglutinin and Neuraminidase","1.00 / 1","","11","0.00 / 1","","Human influenza virus and Swine flu virus","0.00 / 1","","Not sure","0.00 / 1","","Vaccination","1.00 / 1","","Yes, please send me my results","-- / 0","","","-- / 0",""
"2020/12/10 6:14:27 AM EST","Not Cri","14.00 / 26","26 to 35 years old","-- / 0","","PhD","-- / 0","","No","-- / 0","","Not sure","0.00 / 1","","Cold seasons","0.00 / 1","","Droplet","1.00 / 1","","Protein","1.00 / 1","","Because of inflammation due to cell destruction","1.00 / 1","","5-7 days","0.00 / 1","","Not sure","0.00 / 1","","Not sure","0.00 / 1","","Haemagglutinin and Neuraminidase","1.00 / 1","","Not sure","0.00 / 1","","Human influenza virus and Swine flu virus","0.00 / 1","","H1N1","0.00 / 1","","Cover your mouth and nose","0.00 / 1","","@","-- / 0","","","","","Yes!","-- / 0","","Type A","1.00 / 1","","Throughout the year","1.00 / 1","","Droplet","1.00 / 1","","Protein","1.00 / 1","","Because of inflammation due to cell destruction","1.00 / 1","","5-7 days","0.00 / 1","","Type A and Type B","1.00 / 1","","Type B","0.00 / 1","","Haemagglutinin and Neuraminidase","1.00 / 1","","Not sure","0.00 / 1","","Human influenza virus and Avian influenza virus","1.00 / 1","","H7N9","1.00 / 1","","Vaccination","1.00 / 1","","Yes, please send me my results","-- / 0","","","-- / 0",""
"2020/12/10 9:28:24 AM EST","Cri","7.00 / 26","26 to 35 years old","-- / 0","","Master","-- / 0","","No","-- / 0","","Not sure","0.00 / 1","","Not sure","0.00 / 1","","Not sure","0.00 / 1","","Not sure","0.00 / 1","","Not sure","0.00 / 1","","5-7 days","0.00 / 1","","Not sure","0.00 / 1","","Not sure","0.00 / 1","","Not sure","0.00 / 1","","Not sure","0.00 / 1","","Not sure","0.00 / 1","","Not sure","0.00 / 1","","Vaccination","1.00 / 1","","@","-- / 0","","","","","Yes!","-- / 0","","Not sure","0.00 / 1","","Throughout the year","1.00 / 1","","Droplet","1.00 / 1","","Not sure","0.00 / 1","","Because of inflammation due to cell destruction","1.00 / 1","","1-2 weeks","1.00 / 1","","Not sure","0.00 / 1","","Not sure","0.00 / 1","","Haemagglutinin and Neuraminidase","1.00 / 1","","Not sure","0.00 / 1","","Not sure","0.00 / 1","","Not sure","0.00 / 1","","Vaccination","1.00 / 1","","No, thanks for asking","-- / 0","","","-- / 0",""
"2020/12/10 1:24:53 PM EST","Cri","12.00 / 26","18 to 25 years old","-- / 0","","Bachelor","-- / 0","","No","-- / 0","","Not sure","0.00 / 1","","Fall","0.00 / 1","","Droplet","1.00 / 1","","Not sure","0.00 / 1","","Cell exhaustion due to virus take over","0.00 / 1","","5-7 days","0.00 / 1","","Type A and Type B","1.00 / 1","","Not sure","0.00 / 1","","Not sure","0.00 / 1","","Not sure","0.00 / 1","","Not sure","0.00 / 1","","H1N1","0.00 / 1","","Vaccination","1.00 / 1","","@","-- / 0","","","","","Yes!","-- / 0","","Type A","1.00 / 1","","Throughout the year","1.00 / 1","","Droplet","1.00 / 1","","Protein","1.00 / 1","","Because of thousands of viruses being produced within cells","0.00 / 1","","1-2 weeks","1.00 / 1","","Type A and Type B","1.00 / 1","","Type C","1.00 / 1","","Haemagglutinin and Neuraminidase","1.00 / 1","","11","0.00 / 1","","Human influenza virus and Avian influenza virus","1.00 / 1","","H1N1","0.00 / 1","","Avoid close contact","0.00 / 1","","Yes, please send me my results","-- / 0","","This was a very interesting exercise! It shows how much (or little) we retain from reading things! Thank you!","-- / 0",""
"2020/12/11 5:09:50 PM EST","Cri","13.00 / 26","26 to 35 years old","-- / 0","","Master","-- / 0","","No","-- / 0","","Not sure","0.00 / 1","","Cold seasons","0.00 / 1","","Direct contact","0.00 / 1","","RNA","0.00 / 1","","Cell exhaustion due to virus take over","0.00 / 1","","5-7 days","0.00 / 1","","Type A and Type B","1.00 / 1","","Type B","0.00 / 1","","Haemagglutinin and Neuraminidase","1.00 / 1","","11","0.00 / 1","","Not sure","0.00 / 1","","H5N1","0.00 / 1","","Vaccination","1.00 / 1","","&","-- / 0","","Yes","-- / 0","","","","","Type A","1.00 / 1","","Throughout the year","1.00 / 1","","Droplet","1.00 / 1","","RNA","0.00 / 1","","Because of thousands of viruses being produced within cells","0.00 / 1","","5-7 days","0.00 / 1","","Type A and Type B","1.00 / 1","","Type C","1.00 / 1","","Haemagglutinin and Neuraminidase","1.00 / 1","","8","1.00 / 1","","Human influenza virus and Avian influenza virus","1.00 / 1","","H7N9","1.00 / 1","","Vaccination","1.00 / 1","","Yes, please send me my results","-- / 0","","it's a little hard for ordinary people before watch the video, but it's make me benefit a lot, merci!","-- / 0",""
